               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029655,                   0,           6.135e-05,            0.018405,          3.1242e-05,          6.2291e-06,             0.10062,            0.023313,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.087356,            0.024096,                   0,             0.25893,               0.388,             0.27354,             0.05312,             0.07863,            0.016941,                   0,              0.0577,           0.0046995,           0.0046995
                   2,            0.073219,            0.019866,                   0,             0.61274,             0.67949,             0.65388,              0.2228,            0.065021,            0.016564,                   0,            0.036099,           0.0070986,           0.0070986
                   3,            0.068477,            0.018327,                   0,             0.23429,             0.71897,             0.21905,            0.061559,            0.070693,            0.014554,                   0,            0.014497,           0.0094972,           0.0094972
                   4,            0.064822,            0.016041,                   0,             0.53454,             0.63804,             0.64886,             0.17266,            0.067848,            0.015039,                   0,            0.009996,            0.009996,            0.009996
                   5,            0.058357,            0.014095,                   0,              0.1462,             0.63804,             0.14765,            0.031558,            0.094765,            0.023123,                   0,            0.009996,            0.009996,            0.009996
                   6,            0.055447,            0.012144,                   0,             0.24158,             0.80903,             0.23191,            0.067397,            0.078471,            0.014221,                   0,           0.0099951,           0.0099951,           0.0099951
                   7,            0.050927,            0.011622,                   0,             0.74777,              0.8912,             0.82633,             0.35462,            0.047456,             0.01384,                   0,           0.0099941,           0.0099941,           0.0099941
                   8,            0.049705,             0.01098,                   0,             0.15613,             0.77914,             0.13196,            0.036824,            0.088485,             0.01505,                   0,           0.0099931,           0.0099931,           0.0099931
                   9,            0.049429,            0.010322,                   0,             0.59832,             0.93865,              0.6747,             0.27701,            0.041449,              0.0129,                   0,           0.0099921,           0.0099921,           0.0099921
